,c_trust,sight_radius,reward_patch_dim,sim index,run index,time to first food,num birds failed
0,0.0,5,1,0,0,17.22222222222222,2
1,0.0,5,1,0,1,11.444444444444445,1
2,0.0,5,2,1,0,27.333333333333332,4
3,0.0,5,2,1,1,24.0,3
4,0.0,5,4,2,0,40.55555555555556,7
5,0.0,5,4,2,1,45.333333333333336,8
6,0.005,5,1,3,0,10.444444444444445,1
7,0.005,5,1,3,1,2.888888888888889,0
8,0.005,5,2,4,0,13.666666666666666,1
9,0.005,5,2,4,1,5.0,0
10,0.005,5,4,5,0,43.0,6
11,0.005,5,4,5,1,33.888888888888886,5
12,0.01,5,1,6,0,21.0,2
13,0.01,5,1,6,1,10.333333333333334,1
14,0.01,5,2,7,0,34.77777777777778,6
15,0.01,5,2,7,1,30.333333333333332,4
16,0.0,5,1,0,0,12.88888888888889,1
17,0.0,5,1,0,1,13.666666666666666,1
18,0.0,5,2,1,0,31.22222222222222,1
19,0.0,5,2,1,1,61.0,5
20,0.0,5,4,2,0,82.66666666666667,7
21,0.0,5,4,2,1,84.55555555555556,5
22,0.005,5,1,3,0,39.0,0
23,0.005,5,1,3,1,5.444444444444445,0
24,0.005,5,2,4,0,68.44444444444444,6
25,0.005,5,2,4,1,49.333333333333336,4
26,0.005,5,4,5,0,63.22222222222222,3
27,0.005,5,4,5,1,72.11111111111111,4
28,0.01,5,1,6,0,24.22222222222222,1
29,0.01,5,1,6,1,13.333333333333334,1
30,0.01,5,2,7,0,4.777777777777778,0
31,0.01,5,2,7,1,27.333333333333332,1
32,0.01,5,4,8,0,61.0,4
33,0.01,5,4,8,1,23.77777777777778,0
34,0.015,5,1,9,0,4.666666666666667,0
35,0.015,5,1,9,1,2.6666666666666665,0
36,0.015,5,2,10,0,35.333333333333336,1
37,0.015,5,2,10,1,36.22222222222222,1
38,0.015,5,4,11,0,26.444444444444443,2
39,0.015,5,4,11,1,29.0,1
40,0.02,5,1,12,0,13.222222222222221,0
41,0.02,5,1,12,1,7.333333333333333,0
42,0.02,5,2,13,0,41.888888888888886,3
43,0.02,5,2,13,1,46.888888888888886,4
44,0.02,5,4,14,0,98.66666666666667,8
45,0.02,5,4,14,1,80.55555555555556,3
46,0.025,5,1,15,0,29.11111111111111,1
47,0.025,5,1,15,1,17.333333333333332,1
48,0.025,5,2,16,0,13.777777777777779,1
49,0.025,5,2,16,1,68.66666666666667,6
50,0.025,5,4,17,0,34.888888888888886,0
51,0.025,5,4,17,1,36.0,3
52,0.030000000000000002,5,1,18,0,11.444444444444445,0
53,0.030000000000000002,5,1,18,1,5.555555555555555,0
54,0.030000000000000002,5,2,19,0,27.77777777777778,2
55,0.030000000000000002,5,2,19,1,28.88888888888889,1
56,0.030000000000000002,5,4,20,0,87.55555555555556,6
57,0.030000000000000002,5,4,20,1,49.55555555555556,2
58,0.035,5,1,21,0,25.11111111111111,0
59,0.035,5,1,21,1,2.3333333333333335,0
60,0.035,5,2,22,0,24.88888888888889,1
61,0.035,5,2,22,1,7.0,0
62,0.035,5,4,23,0,25.77777777777778,2
63,0.035,5,4,23,1,35.666666666666664,1
64,0.04,5,1,24,0,5.0,0
65,0.04,5,1,24,1,38.77777777777778,3
66,0.04,5,2,25,0,8.88888888888889,0
67,0.04,5,2,25,1,38.44444444444444,2
68,0.04,5,4,26,0,59.888888888888886,5
69,0.04,5,4,26,1,44.111111111111114,1
70,0.045,5,1,27,0,7.444444444444445,0
71,0.045,5,1,27,1,9.88888888888889,0
72,0.045,5,2,28,0,14.222222222222221,0
73,0.045,5,2,28,1,51.111111111111114,3
74,0.045,5,4,29,0,100.0,9
75,0.045,5,4,29,1,7.111111111111111,0
76,0.049999999999999996,5,1,30,0,3.111111111111111,0
77,0.049999999999999996,5,1,30,1,15.222222222222221,0
78,0.049999999999999996,5,2,31,0,21.444444444444443,0
79,0.049999999999999996,5,2,31,1,26.11111111111111,1
80,0.049999999999999996,5,4,32,0,29.0,0
81,0.049999999999999996,5,4,32,1,100.0,9
82,0.05499999999999999,5,1,33,0,2.4444444444444446,0
83,0.05499999999999999,5,1,33,1,14.777777777777779,1
84,0.05499999999999999,5,2,34,0,8.88888888888889,0
85,0.05499999999999999,5,2,34,1,33.666666666666664,1
86,0.05499999999999999,5,4,35,0,74.66666666666667,6
87,0.05499999999999999,5,4,35,1,68.88888888888889,6
88,0.05999999999999999,5,1,36,0,14.333333333333334,0
89,0.05999999999999999,5,1,36,1,21.444444444444443,0
90,0.05999999999999999,5,2,37,0,6.666666666666667,0
91,0.05999999999999999,5,2,37,1,55.666666666666664,4
92,0.05999999999999999,5,4,38,0,43.888888888888886,1
93,0.05999999999999999,5,4,38,1,51.77777777777778,2
94,0.06499999999999999,5,1,39,0,21.333333333333332,1
95,0.06499999999999999,5,1,39,1,21.333333333333332,0
96,0.06499999999999999,5,2,40,0,52.77777777777778,4
97,0.06499999999999999,5,2,40,1,20.11111111111111,0
98,0.06499999999999999,5,4,41,0,35.22222222222222,1
99,0.06499999999999999,5,4,41,1,14.666666666666666,0
100,0.06999999999999999,5,1,42,0,3.6666666666666665,0
101,0.06999999999999999,5,1,42,1,13.555555555555555,1
102,0.06999999999999999,5,2,43,0,65.66666666666667,5
